id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,feridos,ilesos,ignorados,veiculos,latitude,longitude,regional,delegacia,uop
758662,16/03/2026,segunda-feira,06:00:00,MG,40.0,"767,5",JUIZ DE FORA,Carga excessiva e/ou mal acondicionada,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,"-21,581423","-43,466283",SPRF-MG,DEL05/MG,UOP01-DEL05-MG
758682,16/03/2026,segunda-feira,07:10:00,SC,282.0,446,PONTE SERRADA,Ausência de reação do condutor,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Curva,Não,3.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,"-26,911389","-51,904834",SPRF-SC,DEL07/SC,UOP04-DEL07-SC
758683,16/03/2026,segunda-feira,07:00:00,ES,101.0,"288,9",CARIACICA,Trafegar com motocicleta (ou similar) entre as faixas,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta;Retorno Regulamentado,Não,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,"-20,279206","-40,392595",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
758686,16/03/2026,segunda-feira,03:01:00,AM,319.0,733,HUMAITA,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,"-7,927367","-63,329773",SPRF-AM,DEL02-AM,UOP01-DEL02-AM
758699,16/03/2026,segunda-feira,06:52:00,MS,262.0,"528,5",AQUIDAUANA,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Com Vítimas Feridas,Amanhecer,Decrescente,Nublado,Simples,Reta;Interseção de Vias,Não,5.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,"-20,35585001","-56,1294922",SPRF-MS,DEL03/MS,UOP02-DEL03-MS
758701,16/03/2026,segunda-feira,08:00:00,MG,381.0,946,EXTREMA,Velocidade Incompatível,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta;Declive,Sim,3.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,"-22,8627913","-46,34486944",SPRF-MG,DEL16/MG,UOP03-DEL16-MG
758702,16/03/2026,segunda-feira,08:10:00,BA,101.0,263,SANTO ANTONIO DE JESUS,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta;Interseção de Vias;Rotatória,Sim,4.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,"-12,97879967","-39,28441554",SPRF-BA,DEL11/BA,UOP01-DEL11-BA
758703,16/03/2026,segunda-feira,08:40:00,RJ,40.0,"41,6",AREAL,Velocidade Incompatível,Tombamento,Com Vítimas Fatais,Pleno dia,Decrescente,Nublado,Dupla,Declive;Curva,Não,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,"-22,254801","-43,107712",SPRF-RJ,DEL05/RJ,UOP02-DEL05-RJ
758709,25/02/2026,quarta-feira,16:10:00,RJ,116.0,257,PIRAI,Estacionar ou parar em local proibido,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Múltipla,Aclive;Reta,Não,3.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,"-22,586368","-44,014536",SPRF-RJ,DEL07/RJ,UOP01-DEL07-RJ
758710,16/03/2026,segunda-feira,08:00:00,MG,381.0,"307,8",ANTONIO DIAS,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Não,5.0,1.0,0.0,1.0,1.0,2.0,0.0,5.0,"-19,65745","-42,96074",SPRF-MG,DEL03/MG,UOP02-DEL03-MG
758711,20/02/2026,sexta-feira,11:40:00,PR,277.0,"2,4",PARANAGUA,Retorno proibido,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Interseção de Vias,Sim,4.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,"-25,53655043","-48,55631797",SPRF-PR,DEL01/PR,UOP05-DEL01-PR
758714,16/03/2026,segunda-feira,10:00:00,BA,415.0,47,ITABUNA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Sim,4.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,"-14,81611237","-39,29966164",SPRF-BA,DEL05/BA,UOP01-DEL05-BA
